latitude,longitude,date_local,aqi
40.747796,-80.316442,2017-07-03,45
40.747796,-80.316442,2017-07-25,17
40.747796,-80.316442,2017-07-21,54
40.747796,-80.316442,2017-07-31,47
40.747796,-80.316442,2017-07-04,54
40.747796,-80.316442,2017-07-08,33
40.747796,-80.316442,2017-07-13,74
40.747796,-80.316442,2017-07-09,45
40.747796,-80.316442,2017-07-19,75
40.747796,-80.316442,2017-07-02,52
40.747796,-80.316442,2017-07-03,54
40.747796,-80.316442,2017-07-20,65
40.747796,-80.316442,2017-07-02,43
40.747796,-80.316442,2017-07-30,38
40.747796,-80.316442,2017-07-15,35
40.747796,-80.316442,2017-07-24,25
40.747796,-80.316442,2017-07-17,52
40.747796,-80.316442,2017-07-19,67
40.747796,-80.316442,2017-07-30,47
40.747796,-80.316442,2017-07-23,36
40.747796,-80.316442,2017-07-17,62
40.747796,-80.316442,2017-07-28,46
40.747796,-80.316442,2017-07-22,44
40.747796,-80.316442,2017-07-15,48
40.747796,-80.316442,2017-07-14,64
40.747796,-80.316442,2017-07-12,61
40.747796,-80.316442,2017-07-31,40
40.747796,-80.316442,2017-07-16,46
40.747796,-80.316442,2017-07-07,27
40.337328,-76.38344699999999,2017-07-14,43
40.337328,-76.38344699999999,2017-07-09,59
40.337328,-76.38344699999999,2017-07-25,37
40.337328,-76.38344699999999,2017-07-28,75
40.337328,-76.38344699999999,2017-07-19,55
40.337328,-76.38344699999999,2017-07-04,45
40.337328,-76.38344699999999,2017-07-31,39
40.337328,-76.38344699999999,2017-07-22,47
40.337328,-76.38344699999999,2017-07-27,61
40.337328,-76.38344699999999,2017-07-19,66
40.337328,-76.38344699999999,2017-07-20,75
40.337328,-76.38344699999999,2017-07-26,53
40.337328,-76.38344699999999,2017-07-10,64
40.337328,-76.38344699999999,2017-07-13,60
40.337328,-76.38344699999999,2017-07-22,59
40.337328,-76.38344699999999,2017-07-21,50
40.337328,-76.38344699999999,2017-07-06,36
40.337328,-76.38344699999999,2017-07-23,35
40.337328,-76.38344699999999,2017-07-12,52
40.337328,-76.38344699999999,2017-07-20,65
40.337328,-76.38344699999999,2017-07-26,21
40.337328,-76.38344699999999,2017-07-02,31
40.337328,-76.38344699999999,2017-07-05,74
40.337328,-76.38344699999999,2017-07-02,61
40.337328,-76.38344699999999,2017-07-08,57
40.337328,-76.38344699999999,2017-07-15,51
40.337328,-76.38344699999999,2017-07-15,24
40.337328,-76.38344699999999,2017-07-11,37
40.337328,-76.38344699999999,2017-07-03,36
40.337328,-76.38344699999999,2017-07-25,13
40.337328,-76.38344699999999,2017-07-24,33
40.337328,-76.38344699999999,2017-07-16,56
40.337328,-76.38344699999999,2017-07-23,54
40.337328,-76.38344699999999,2017-07-06,67
40.337328,-76.38344699999999,2017-07-03,69
40.337328,-76.38344699999999,2017-07-29,40
40.337328,-76.38344699999999,2017-07-12,61
40.337328,-76.38344699999999,2017-07-30,49
40.337328,-76.38344699999999,2017-07-17,60
40.337328,-76.38344699999999,2017-07-05,52
40.337328,-76.38344699999999,2017-07-29,19
40.337328,-76.38344699999999,2017-07-16,31
40.337328,-76.38344699999999,2017-07-17,43
40.337328,-76.38344699999999,2017-07-13,51
40.337328,-76.38344699999999,2017-07-27,43
40.337328,-76.38344699999999,2017-07-14,27
40.337328,-76.38344699999999,2017-07-11,55
40.337328,-76.38344699999999,2017-07-31,60
40.337328,-76.38344699999999,2017-07-07,48
40.337328,-76.38344699999999,2017-07-04,63
40.337328,-76.38344699999999,2017-07-21,62
40.337328,-76.38344699999999,2017-07-18,62
40.337328,-76.38344699999999,2017-07-30,18
40.337328,-76.38344699999999,2017-07-18,41
40.337328,-76.38344699999999,2017-07-24,24
40.337328,-76.38344699999999,2017-07-28,57
39.92002,-77.30968,2017-07-14,33
39.92002,-77.30968,2017-07-13,45
39.92002,-77.30968,2017-07-17,42
39.92002,-77.30968,2017-07-15,28
39.92002,-77.30968,2017-07-26,22
39.92002,-77.30968,2017-07-25,17
39.92002,-77.30968,2017-07-08,17
39.92002,-77.30968,2017-07-12,40
39.92002,-77.30968,2017-07-02,20
39.92002,-77.30968,2017-07-21,45
39.92002,-77.30968,2017-07-20,60
39.92002,-77.30968,2017-07-03,28
39.92002,-77.30968,2017-07-23,20
39.92002,-77.30968,2017-07-07,14
39.92002,-77.30968,2017-07-19,44
39.92002,-77.30968,2017-07-10,20
39.92002,-77.30968,2017-07-04,35
39.92002,-77.30968,2017-07-06,21
39.92002,-77.30968,2017-07-18,44
39.92002,-77.30968,2017-07-05,52
39.92002,-77.30968,2017-07-24,28
39.92002,-77.30968,2017-07-16,38
39.92002,-77.30968,2017-07-11,18
39.92002,-77.30968,2017-07-22,36
39.92002,-77.30968,2017-07-09,17
40.628056,-75.341111,2017-07-19,54
40.628056,-75.341111,2017-07-23,53
40.628056,-75.341111,2017-07-24,18
40.628056,-75.341111,2017-07-26,31
40.628056,-75.341111,2017-07-06,50
40.628056,-75.341111,2017-07-15,17
40.628056,-75.341111,2017-07-14,21
40.628056,-75.341111,2017-07-28,45
40.628056,-75.341111,2017-07-11,30
40.628056,-75.341111,2017-07-26,18
40.628056,-75.341111,2017-07-29,18
40.628056,-75.341111,2017-07-15,18
40.628056,-75.341111,2017-07-05,59
40.628056,-75.341111,2017-07-02,49
40.628056,-75.341111,2017-07-25,25
40.628056,-75.341111,2017-07-08,46
40.628056,-75.341111,2017-07-29,24
40.628056,-75.341111,2017-07-03,51
40.628056,-75.341111,2017-07-21,45
40.628056,-75.341111,2017-07-22,56
40.628056,-75.341111,2017-07-16,26
40.628056,-75.341111,2017-07-18,42
40.628056,-75.341111,2017-07-17,39
40.628056,-75.341111,2017-07-30,33
40.628056,-75.341111,2017-07-28,36
40.628056,-75.341111,2017-07-21,44
40.628056,-75.341111,2017-07-27,41
40.628056,-75.341111,2017-07-14,14
40.628056,-75.341111,2017-07-06,27
40.628056,-75.341111,2017-07-31,40
40.628056,-75.341111,2017-07-13,57
40.628056,-75.341111,2017-07-25,15
40.628056,-75.341111,2017-07-10,39
40.628056,-75.341111,2017-07-07,30
40.628056,-75.341111,2017-07-03,59
40.628056,-75.341111,2017-07-20,56
40.628056,-75.341111,2017-07-16,34
40.628056,-75.341111,2017-07-04,66
40.628056,-75.341111,2017-07-12,39
40.628056,-75.341111,2017-07-13,51
40.628056,-75.341111,2017-07-17,43
40.628056,-75.341111,2017-07-05,40
40.628056,-75.341111,2017-07-20,57
40.628056,-75.341111,2017-07-09,33
40.628056,-75.341111,2017-07-27,42
40.628056,-75.341111,2017-07-12,49
40.628056,-75.341111,2017-07-19,55
40.628056,-75.341111,2017-07-04,53
40.628056,-75.341111,2017-07-07,21
40.628056,-75.341111,2017-07-18,46
40.628056,-75.341111,2017-07-10,58
40.628056,-75.341111,2017-07-09,52
40.628056,-75.341111,2017-07-22,57
40.628056,-75.341111,2017-07-31,51
40.628056,-75.341111,2017-07-11,52
40.628056,-75.341111,2017-07-08,33
40.628056,-75.341111,2017-07-24,21
40.628056,-75.341111,2017-07-30,22
40.628056,-75.341111,2017-07-23,50
41.215014,-80.484779,2017-07-04,39
41.215014,-80.484779,2017-07-31,50
41.215014,-80.484779,2017-07-29,30
41.215014,-80.484779,2017-07-14,35
41.215014,-80.484779,2017-07-25,24
41.215014,-80.484779,2017-07-18,45
41.215014,-80.484779,2017-07-03,55
41.215014,-80.484779,2017-07-30,44
41.215014,-80.484779,2017-07-06,52
41.215014,-80.484779,2017-07-17,43
41.215014,-80.484779,2017-07-28,48
41.215014,-80.484779,2017-07-13,33
41.215014,-80.484779,2017-07-08,33
41.215014,-80.484779,2017-07-09,44
41.215014,-80.484779,2017-07-19,65
41.215014,-80.484779,2017-07-10,34
41.215014,-80.484779,2017-07-11,29
41.215014,-80.484779,2017-07-12,40
41.215014,-80.484779,2017-07-21,43
41.215014,-80.484779,2017-07-27,52
41.215014,-80.484779,2017-07-20,54
41.215014,-80.484779,2017-07-16,49
41.215014,-80.484779,2017-07-24,39
41.215014,-80.484779,2017-07-23,38
41.215014,-80.484779,2017-07-22,40
41.215014,-80.484779,2017-07-02,42
41.215014,-80.484779,2017-07-07,36
41.215014,-80.484779,2017-07-05,53
41.215014,-80.484779,2017-07-15,33
41.215014,-80.484779,2017-07-26,37
39.818715,-75.413973,2017-07-15,37
39.818715,-75.413973,2017-07-18,38
39.818715,-75.413973,2017-07-10,55
39.818715,-75.413973,2017-07-16,30
39.818715,-75.413973,2017-07-11,55
39.818715,-75.413973,2017-07-06,39
39.818715,-75.413973,2017-07-07,30
39.818715,-75.413973,2017-07-12,50
39.818715,-75.413973,2017-07-19,55
39.818715,-75.413973,2017-07-09,38
39.818715,-75.413973,2017-07-08,40
39.818715,-75.413973,2017-07-20,66
39.818715,-75.413973,2017-07-23,42
39.818715,-75.413973,2017-07-24,21
39.818715,-75.413973,2017-07-17,45
39.818715,-75.413973,2017-07-25,27
39.818715,-75.413973,2017-07-26,25
39.818715,-75.413973,2017-07-30,19
39.818715,-75.413973,2017-07-28,52
39.818715,-75.413973,2017-07-27,33
39.818715,-75.413973,2017-07-14,41
39.818715,-75.413973,2017-07-13,58
39.818715,-75.413973,2017-07-03,53
39.818715,-75.413973,2017-07-22,55
39.818715,-75.413973,2017-07-02,45
39.818715,-75.413973,2017-07-31,33
39.818715,-75.413973,2017-07-29,24
39.818715,-75.413973,2017-07-21,54
40.535278,-78.37083299999999,2017-07-09,23
40.535278,-78.37083299999999,2017-07-29,5
40.535278,-78.37083299999999,2017-07-08,19
40.535278,-78.37083299999999,2017-07-14,32
40.535278,-78.37083299999999,2017-07-10,38
40.535278,-78.37083299999999,2017-07-20,57
40.535278,-78.37083299999999,2017-07-30,29
40.535278,-78.37083299999999,2017-07-21,43
40.535278,-78.37083299999999,2017-07-15,24
40.535278,-78.37083299999999,2017-07-17,43
40.535278,-78.37083299999999,2017-07-26,19
40.535278,-78.37083299999999,2017-07-07,20
40.535278,-78.37083299999999,2017-07-25,7
40.535278,-78.37083299999999,2017-07-05,48
40.535278,-78.37083299999999,2017-07-11,25
40.535278,-78.37083299999999,2017-07-04,50
40.535278,-78.37083299999999,2017-07-27,38
40.535278,-78.37083299999999,2017-07-31,34
40.535278,-78.37083299999999,2017-07-06,21
40.535278,-78.37083299999999,2017-07-22,43
40.535278,-78.37083299999999,2017-07-02,33
40.535278,-78.37083299999999,2017-07-23,32
40.535278,-78.37083299999999,2017-07-13,45
40.535278,-78.37083299999999,2017-07-12,38
40.535278,-78.37083299999999,2017-07-19,57
40.535278,-78.37083299999999,2017-07-16,36
40.535278,-78.37083299999999,2017-07-03,40
40.535278,-78.37083299999999,2017-07-28,46
40.535278,-78.37083299999999,2017-07-18,51
40.535278,-78.37083299999999,2017-07-24,26
40.499767,-80.071337,2017-07-16,56
40.499767,-80.071337,2017-07-19,69
40.499767,-80.071337,2017-07-07,23
40.499767,-80.071337,2017-07-24,33
40.499767,-80.071337,2017-07-09,53
40.499767,-80.071337,2017-07-21,59
40.499767,-80.071337,2017-07-24,30
40.499767,-80.071337,2017-07-05,54
40.499767,-80.071337,2017-07-29,24
40.499767,-80.071337,2017-07-17,55
40.499767,-80.071337,2017-07-03,52
40.499767,-80.071337,2017-07-08,35
40.499767,-80.071337,2017-07-12,61
40.499767,-80.071337,2017-07-15,46
40.499767,-80.071337,2017-07-15,35
40.499767,-80.071337,2017-07-14,48
40.499767,-80.071337,2017-07-22,43
40.499767,-80.071337,2017-07-10,37
40.499767,-80.071337,2017-07-26,35
40.499767,-80.071337,2017-07-02,43
40.499767,-80.071337,2017-07-18,54
40.499767,-80.071337,2017-07-06,45
40.499767,-80.071337,2017-07-25,20
40.499767,-80.071337,2017-07-12,52
40.499767,-80.071337,2017-07-21,52
40.499767,-80.071337,2017-07-03,52
40.499767,-80.071337,2017-07-27,60
40.499767,-80.071337,2017-07-23,40
40.499767,-80.071337,2017-07-30,42
40.499767,-80.071337,2017-07-04,57
40.499767,-80.071337,2017-07-13,50
40.499767,-80.071337,2017-07-27,54
40.499767,-80.071337,2017-07-18,60
40.499767,-80.071337,2017-07-11,37
40.499767,-80.071337,2017-07-31,43
40.499767,-80.071337,2017-07-20,58
40.499767,-80.071337,2017-07-09,44
40.499767,-80.071337,2017-07-28,52
40.499767,-80.071337,2017-07-06,48
40.499767,-80.071337,2017-07-30,48
39.922867,-75.186921,2017-07-06,31
39.922867,-75.186921,2017-07-26,22
39.922867,-75.186921,2017-07-02,38
39.922867,-75.186921,2017-07-16,28
39.922867,-75.186921,2017-07-22,59
39.922867,-75.186921,2017-07-29,24
39.922867,-75.186921,2017-07-09,32
39.922867,-75.186921,2017-07-11,48
39.922867,-75.186921,2017-07-23,33
39.922867,-75.186921,2017-07-27,20
39.922867,-75.186921,2017-07-25,28
39.922867,-75.186921,2017-07-21,48
39.922867,-75.186921,2017-07-12,54
39.922867,-75.186921,2017-07-05,43
39.922867,-75.186921,2017-07-31,35
39.922867,-75.186921,2017-07-10,33
39.922867,-75.186921,2017-07-28,41
39.922867,-75.186921,2017-07-04,52
39.922867,-75.186921,2017-07-08,28
39.922867,-75.186921,2017-07-30,23
39.922867,-75.186921,2017-07-13,56
39.922867,-75.186921,2017-07-03,41
39.922867,-75.186921,2017-07-15,43
40.445277999999995,-80.420833,2017-07-29,10
40.445277999999995,-80.420833,2017-07-30,28
40.445277999999995,-80.420833,2017-07-22,28
40.445277999999995,-80.420833,2017-07-10,22
40.445277999999995,-80.420833,2017-07-21,33
40.445277999999995,-80.420833,2017-07-13,35
40.445277999999995,-80.420833,2017-07-18,33
40.445277999999995,-80.420833,2017-07-17,26
40.445277999999995,-80.420833,2017-07-14,30
40.445277999999995,-80.420833,2017-07-04,23
40.445277999999995,-80.420833,2017-07-09,23
40.445277999999995,-80.420833,2017-07-31,31
40.445277999999995,-80.420833,2017-07-25,13
40.445277999999995,-80.420833,2017-07-05,32
40.445277999999995,-80.420833,2017-07-19,54
40.445277999999995,-80.420833,2017-07-03,22
40.445277999999995,-80.420833,2017-07-12,37
40.445277999999995,-80.420833,2017-07-16,26
40.445277999999995,-80.420833,2017-07-15,24
40.445277999999995,-80.420833,2017-07-02,20
40.445277999999995,-80.420833,2017-07-20,42
40.445277999999995,-80.420833,2017-07-08,16
40.445277999999995,-80.420833,2017-07-07,8
40.445277999999995,-80.420833,2017-07-28,30
40.445277999999995,-80.420833,2017-07-24,14
40.445277999999995,-80.420833,2017-07-23,21
40.170556,-80.261389,2017-07-06,32
40.170556,-80.261389,2017-07-09,30
40.170556,-80.261389,2017-07-26,29
40.170556,-80.261389,2017-07-29,19
40.170556,-80.261389,2017-07-19,64
40.170556,-80.261389,2017-07-31,39
40.170556,-80.261389,2017-07-14,39
40.170556,-80.261389,2017-07-24,26
40.170556,-80.261389,2017-07-13,40
40.170556,-80.261389,2017-07-07,25
40.170556,-80.261389,2017-07-27,52
40.170556,-80.261389,2017-07-23,31
40.170556,-80.261389,2017-07-21,49
40.170556,-80.261389,2017-07-15,33
40.170556,-80.261389,2017-07-17,45
40.170556,-80.261389,2017-07-22,43
40.170556,-80.261389,2017-07-12,51
40.170556,-80.261389,2017-07-30,38
40.170556,-80.261389,2017-07-03,34
40.170556,-80.261389,2017-07-20,52
40.170556,-80.261389,2017-07-28,47
40.170556,-80.261389,2017-07-11,29
40.170556,-80.261389,2017-07-18,59
40.170556,-80.261389,2017-07-04,72
40.170556,-80.261389,2017-07-05,58
40.170556,-80.261389,2017-07-16,38
40.170556,-80.261389,2017-07-10,25
40.170556,-80.261389,2017-07-02,25
40.170556,-80.261389,2017-07-25,21
40.170556,-80.261389,2017-07-08,27
41.644722,-76.939167,2017-07-21,39
41.644722,-76.939167,2017-07-31,47
41.644722,-76.939167,2017-07-09,35
